DID,Wave 1,W1pickup,W1dropoff,ManualCorrectedEnter,ManualCorrectedExit,Note,PickupDropoffDiff
149,complete,4/1/2015,4/8/2015,,,,7
150,complete,4/8/2015,4/15/2015,,,,7
151,complete,4/1/2015,4/8/2015,,,,7
152,complete,4/8/2015,4/15/2015,,,,7
153,complete,4/15/2015,4/22/2015,,,,7
154,complete,4/8/2015,4/15/2015,,,,7
155,complete,4/9/2015,4/16/2015,,,,7
156,complete,4/9/2015,4/16/2015,,,,7
157,complete,4/9/2015,4/16/2015,,,,7
158,complete,4/15/2015,4/22/2015,,,,7
159,complete,4/15/2015,4/22/2015,,,,7
160,complete,4/23/2015,4/30/2015,,,,7
161,complete,4/15/2015,4/23/2015,,04/22/2015,,8
162,complete,4/22/2015,4/29/2015,,,,7
163,complete,4/29/2015,5/6/2015,,,,7
164,complete,4/16/2015,4/23/2015,,,,7
165,complete,4/16/2015,4/23/2015,,,,7
166,complete,4/22/2015,4/29/2015,,,,7
167,complete,4/16/2015,4/23/2015,,,,7
168,complete,4/16/2015,4/23/2015,,,,7
169,complete,4/16/2015,4/23/2015,,,,7
170,complete,4/22/2015,4/29/2015,,,,7
171,complete,4/23/2015,4/30/2015,,,,7
172,complete,4/23/2015,4/29/2015,,04/30/2015,,6
173,complete,4/23/2015,4/30/2015,,,,7
174,complete,4/30/2015,5/7/2015,,,,7
175,complete,4/30/2015,5/7/2015,,,,7
176,complete,4/23/2015,4/30/2015,,,,7
177,complete,4/29/2015,5/13/2015,,05/06/2015,,14
178,complete,4/29/2015,5/6/2015,,,,7
179,complete,4/30/2015,5/7/2015,,,,7
180,complete,5/12/2015,5/19/2015,,,,7
181,complete,4/29/2015,5/6/2015,,,,7
182,complete,4/29/2015,5/6/2015,,,,7
183,complete,5/12/2015,5/19/2015,,,,7
184,complete,5/5/2015,5/12/2015,,,,7
185,complete,5/5/2015,5/12/2015,,,,7
186,complete,5/5/2015,5/12/2015,,,,7
187,complete,5/7/2015,5/14/2015,,,,7
188,complete,5/5/2015,5/12/2015,,,,7
189,complete,5/7/2015,5/14/2015,,,,7
190,complete,5/13/2015,5/21/2015,,05/20/2015,,8
191,complete,5/27/2015,6/3/2015,,,,7
192,complete,5/12/2015,5/19/2015,,,,7
193,complete,5/7/2015,5/14/2015,,,,7
194,complete,5/12/2015,5/19/2015,,,,7
195,complete,5/12/2015,6/8/2015,,05/19/2015,,27
196,complete,5/14/2015,5/28/2015,,05/21/2015,,14
197,complete,5/21/2015,5/28/2015,,,,7
198,complete,5/14/2015,5/21/2015,,,,7
199,complete,5/14/2015,5/26/2015,,05/21/2015,,12
200,complete,5/21/2015,5/28/2015,,,,7
201,complete,5/19/2015,5/26/2015,,,,7
202,complete,5/19/2015,5/26/2015,,,,7
204,complete,5/20/2015,5/28/2015,,05/27/2015,,8
205,complete,5/27/2015,6/3/2015,,,,7
206,complete,5/20/2015,5/27/2015,,,,7
207,complete,5/27/2015,6/3/2015,,,,7
209,complete,5/27/2015,6/3/2015,,,,7
210,complete,5/27/2015,6/3/2015,,,,7
211,complete,1/28/2016,2/4/2016,,,,7
212,complete,5/21/2015,5/28/2015,,,,7
213,complete,5/28/2015,6/4/2015,,,,7
214,complete,1/12/2016,1/19/2016,,,,7
215,complete,5/28/2015,6/4/2015,,,,7
217,complete,5/28/2015,6/4/2015,,,,7
218,complete,5/28/2015,6/4/2015,,,,7
219,complete,10/29/2015,11/5/2015,,,,7
223,complete,12/1/2015,12/8/2015,,,,7
225,complete,12/10/2015,12/17/2015,,,,7
226,complete,1/12/2016,1/19/2016,,,,7
227,complete,1/12/2016,1/19/2016,,,,7
229,complete,1/26/2016,2/5/2016,,02/02/2016,,10
231,complete,1/28/2016,2/18/2016,,02/04/2016,,21
232,complete,2/4/2016,2/11/2016,,,,7
233,complete,2/25/2016,3/3/2016,,,,7
